"millis,stamp,datetime,motion,,,,"
"138999,1343096802, 2012/7/24 2:26:42, Inactive,41114,0.101875,0.039375,7/24/2012 0:56"
"139999,1343096803, 2012/7/24 2:26:43, Inactive,41114,0.101886574,0.039386574,7/24/2012 0:56"
"140999,1343096804, 2012/7/24 2:26:44, Inactive,41114,0.101898148,0.039398148,7/24/2012 0:56"
"142000,1343096805, 2012/7/24 2:26:45, Inactive,41114,0.101909722,0.039409722,7/24/2012 0:56"
"142999,1343096806, 2012/7/24 2:26:46, Inactive,41114,0.101921296,0.039421296,7/24/2012 0:56"
"144000,1343096807, 2012/7/24 2:26:47, Inactive,41114,0.10193287,0.03943287,7/24/2012 0:56"
"144999,1343096808, 2012/7/24 2:26:48, Inactive,41114,0.101944444,0.039444444,7/24/2012 0:56"
"145999,1343096809, 2012/7/24 2:26:49, Inactive,41114,0.101956019,0.039456019,7/24/2012 0:56"
"146998,1343096810, 2012/7/24 2:26:50, Inactive,41114,0.101967593,0.039467593,7/24/2012 0:56"
"147999,1343096811, 2012/7/24 2:26:51, Inactive,41114,0.101979167,0.039479167,7/24/2012 0:56"
"148999,1343096812, 2012/7/24 2:26:52, Inactive,41114,0.101990741,0.039490741,7/24/2012 0:56"
"149999,1343096813, 2012/7/24 2:26:53, Inactive,41114,0.102002315,0.039502315,7/24/2012 0:56"
"150999,1343096814, 2012/7/24 2:26:54, Inactive,41114,0.102013889,0.039513889,7/24/2012 0:56"
"151999,1343096815, 2012/7/24 2:26:55, Inactive,41114,0.102025463,0.039525463,7/24/2012 0:56"
"152999,1343096816, 2012/7/24 2:26:56, Inactive,41114,0.102037037,0.039537037,7/24/2012 0:56"
"153999,1343096817, 2012/7/24 2:26:57, Inactive,41114,0.102048611,0.039548611,7/24/2012 0:56"
"154998,1343096818, 2012/7/24 2:26:58, Inactive,41114,0.102060185,0.039560185,7/24/2012 0:56"
"155999,1343096819, 2012/7/24 2:26:59, Inactive,41114,0.102071759,0.039571759,7/24/2012 0:56"
"156999,1343096820, 2012/7/24 2:27:0, Inactive,41114,0.102083333,0.039583333,7/24/2012 0:57"
"157999,1343096821, 2012/7/24 2:27:1, Inactive,41114,0.102094907,0.039594907,7/24/2012 0:57"
"158999,1343096822, 2012/7/24 2:27:2, Inactive,41114,0.102106481,0.039606481,7/24/2012 0:57"
"160000,1343096823, 2012/7/24 2:27:3, Inactive,41114,0.102118056,0.039618056,7/24/2012 0:57"
"160999,1343096824, 2012/7/24 2:27:4, Inactive,41114,0.10212963,0.03962963,7/24/2012 0:57"
"161999,1343096825, 2012/7/24 2:27:5, Inactive,41114,0.102141204,0.039641204,7/24/2012 0:57"
"162999,1343096826, 2012/7/24 2:27:6, Inactive,41114,0.102152778,0.039652778,7/24/2012 0:57"
"163999,1343096827, 2012/7/24 2:27:7, Inactive,41114,0.102164352,0.039664352,7/24/2012 0:57"
"164999,1343096828, 2012/7/24 2:27:8, Inactive,41114,0.102175926,0.039675926,7/24/2012 0:57"
"165999,1343096829, 2012/7/24 2:27:9, Inactive,41114,0.1021875,0.0396875,7/24/2012 0:57"
"167000,1343096830, 2012/7/24 2:27:10, Inactive,41114,0.102199074,0.039699074,7/24/2012 0:57"
"167999,1343096831, 2012/7/24 2:27:11, Inactive,41114,0.102210648,0.039710648,7/24/2012 0:57"
"168998,1343096832, 2012/7/24 2:27:12, Inactive,41114,0.102222222,0.039722222,7/24/2012 0:57"
"169999,1343096833, 2012/7/24 2:27:13, Inactive,41114,0.102233796,0.039733796,7/24/2012 0:57"
"170999,1343096834, 2012/7/24 2:27:14, Inactive,41114,0.10224537,0.03974537,7/24/2012 0:57"
"171999,1343096835, 2012/7/24 2:27:15, Inactive,41114,0.102256944,0.039756944,7/24/2012 0:57"
"172999,1343096836, 2012/7/24 2:27:16, Inactive,41114,0.102268519,0.039768519,7/24/2012 0:57"
"174000,1343096837, 2012/7/24 2:27:17, Inactive,41114,0.102280093,0.039780093,7/24/2012 0:57"
"174999,1343096838, 2012/7/24 2:27:18, Inactive,41114,0.102291667,0.039791667,7/24/2012 0:57"
"176000,1343096839, 2012/7/24 2:27:19, Inactive,41114,0.102303241,0.039803241,7/24/2012 0:57"
"176999,1343096840, 2012/7/24 2:27:20, Inactive,41114,0.102314815,0.039814815,7/24/2012 0:57"
"177999,1343096841, 2012/7/24 2:27:21, Inactive,41114,0.102326389,0.039826389,7/24/2012 0:57"
"178999,1343096842, 2012/7/24 2:27:22, Inactive,41114,0.102337963,0.039837963,7/24/2012 0:57"
"179998,1343096843, 2012/7/24 2:27:23, Inactive,41114,0.102349537,0.039849537,7/24/2012 0:57"
"180999,1343096844, 2012/7/24 2:27:24, Inactive,41114,0.102361111,0.039861111,7/24/2012 0:57"
"181999,1343096845, 2012/7/24 2:27:25, Inactive,41114,0.102372685,0.039872685,7/24/2012 0:57"
"182999,1343096846, 2012/7/24 2:27:26, Active,41114,0.102384259,0.039884259,7/24/2012 0:57"
"183999,1343096847, 2012/7/24 2:27:27, Active,41114,0.102395833,0.039895833,7/24/2012 0:57"
"184999,1343096848, 2012/7/24 2:27:28, Active,41114,0.102407407,0.039907407,7/24/2012 0:57"
"185999,1343096849, 2012/7/24 2:27:29, Active,41114,0.102418981,0.039918981,7/24/2012 0:57"
"186999,1343096850, 2012/7/24 2:27:30, Active,41114,0.102430556,0.039930556,7/24/2012 0:57"
"187998,1343096851, 2012/7/24 2:27:31, Active,41114,0.10244213,0.03994213,7/24/2012 0:57"
"188999,1343096852, 2012/7/24 2:27:32, Active,41114,0.102453704,0.039953704,7/24/2012 0:57"
"189999,1343096853, 2012/7/24 2:27:33, Active,41114,0.102465278,0.039965278,7/24/2012 0:57"
"190999,1343096854, 2012/7/24 2:27:34, Active,41114,0.102476852,0.039976852,7/24/2012 0:57"
"192000,1343096855, 2012/7/24 2:27:35, Active,41114,0.102488426,0.039988426,7/24/2012 0:57"
"192999,1343096856, 2012/7/24 2:27:36, Active,41114,0.1025,0.04,7/24/2012 0:57"
"193999,1343096857, 2012/7/24 2:27:37, Active,41114,0.102511574,0.040011574,7/24/2012 0:57"
"194999,1343096858, 2012/7/24 2:27:38, Active,41114,0.102523148,0.040023148,7/24/2012 0:57"
"195999,1343096859, 2012/7/24 2:27:39, Active,41114,0.102534722,0.040034722,7/24/2012 0:57"
"196999,1343096860, 2012/7/24 2:27:40, Active,41114,0.102546296,0.040046296,7/24/2012 0:57"
"197999,1343096861, 2012/7/24 2:27:41, Active,41114,0.10255787,0.04005787,7/24/2012 0:57"
"199000,1343096862, 2012/7/24 2:27:42, Active,41114,0.102569444,0.040069444,7/24/2012 0:57"
"199999,1343096863, 2012/7/24 2:27:43, Active,41114,0.102581019,0.040081019,7/24/2012 0:57"
"200999,1343096864, 2012/7/24 2:27:44, Active,41114,0.102592593,0.040092593,7/24/2012 0:57"
"201999,1343096865, 2012/7/24 2:27:45, Active,41114,0.102604167,0.040104167,7/24/2012 0:57"
"202999,1343096866, 2012/7/24 2:27:46, Active,41114,0.102615741,0.040115741,7/24/2012 0:57"
"203999,1343096867, 2012/7/24 2:27:47, Active,41114,0.102627315,0.040127315,7/24/2012 0:57"
"204998,1343096868, 2012/7/24 2:27:48, Active,41114,0.102638889,0.040138889,7/24/2012 0:57"
"206000,1343096869, 2012/7/24 2:27:49, Active,41114,0.102650463,0.040150463,7/24/2012 0:57"
"206999,1343096870, 2012/7/24 2:27:50, Active,41114,0.102662037,0.040162037,7/24/2012 0:57"
"208000,1343096871, 2012/7/24 2:27:51, Active,41114,0.102673611,0.040173611,7/24/2012 0:57"
"208999,1343096872, 2012/7/24 2:27:52, Active,41114,0.102685185,0.040185185,7/24/2012 0:57"
"209999,1343096873, 2012/7/24 2:27:53, Active,41114,0.102696759,0.040196759,7/24/2012 0:57"
"210999,1343096874, 2012/7/24 2:27:54, Active,41114,0.102708333,0.040208333,7/24/2012 0:57"
"211999,1343096875, 2012/7/24 2:27:55, Active,41114,0.102719907,0.040219907,7/24/2012 0:57"
"212999,1343096876, 2012/7/24 2:27:56, Active,41114,0.102731481,0.040231481,7/24/2012 0:57"
"213999,1343096877, 2012/7/24 2:27:57, Active,41114,0.102743056,0.040243056,7/24/2012 0:57"
"214999,1343096878, 2012/7/24 2:27:58, Active,41114,0.10275463,0.04025463,7/24/2012 0:57"
"215999,1343096879, 2012/7/24 2:27:59, Active,41114,0.102766204,0.040266204,7/24/2012 0:57"
"216999,1343096880, 2012/7/24 2:28:0, Active,41114,0.102777778,0.040277778,7/24/2012 0:58"
"217999,1343096881, 2012/7/24 2:28:1, Active,41114,0.102789352,0.040289352,7/24/2012 0:58"
"218999,1343096882, 2012/7/24 2:28:2, Active,41114,0.102800926,0.040300926,7/24/2012 0:58"
"219999,1343096883, 2012/7/24 2:28:3, Active,41114,0.1028125,0.0403125,7/24/2012 0:58"
"220999,1343096884, 2012/7/24 2:28:4, Active,41114,0.102824074,0.040324074,7/24/2012 0:58"
"221999,1343096885, 2012/7/24 2:28:5, Active,41114,0.102835648,0.040335648,7/24/2012 0:58"
"222999,1343096886, 2012/7/24 2:28:6, Active,41114,0.102847222,0.040347222,7/24/2012 0:58"
"224000,1343096887, 2012/7/24 2:28:7, Active,41114,0.102858796,0.040358796,7/24/2012 0:58"
"224999,1343096888, 2012/7/24 2:28:8, Active,41114,0.10287037,0.04037037,7/24/2012 0:58"
